id,date,category,category_icon,amount,note,created_at
,2026-01-02,Food > Groceries,local_grocery_store,4280,Weekly groceries,
,2026-01-03,Transport > Public Transport,directions_bus,150,Metro ticket,
,2026-01-04,Food > Eating out,restaurant,1890,Dinner with friends,
,2026-01-05,Housing > Utilities > Electricity,power,8540,January bill,
,2026-01-06,Shopping > Subscriptions > Netflix,live_tv,1299,Monthly subscription,
,2026-01-07,Food > Groceries,local_grocery_store,3150,Fruits and vegetables,
,2026-01-08,Vehicle > Fuel,local_gas_station,6200,Full tank,
,2026-01-09,Health > Pharmacy,medication,1450,Vitamins,
,2026-01-10,Entertainment > Cinema & Culture,movie,1200,Movie night,
,2026-01-11,Food > Eating out,restaurant,950,Lunch at work,
,2026-01-12,Housing > Utilities > Internet & TV,wifi,3499,Monthly internet,
,2026-01-13,Food > Groceries,local_grocery_store,5670,Big grocery run,
,2026-01-14,Transport > Taxi,local_taxi,1850,Airport taxi,
,2026-01-15,Shopping > Electronics,devices,4999,USB-C hub,
,2026-01-16,Hobbies > Sport > Fitness,fitness_center,3500,Monthly gym membership,
,2026-01-17,Food > Eating out,restaurant,2250,Birthday dinner,
,2026-01-18,Vehicle > Parking,local_parking,400,City center parking,
,2026-01-19,Health > Medical,medical_services,4500,Doctor visit copay,
,2026-01-20,Food > Groceries,local_grocery_store,3890,Weekly groceries,
,2026-01-22,Vanity > Barber,content_cut,2000,Haircut,
,2026-01-23,Shopping > Subscriptions > YouTube,live_tv,1399,YouTube Premium,
,2026-01-24,Food > Eating out,restaurant,1100,Quick lunch,
,2026-01-25,Housing > Utilities > Water Supply,water_drop,2870,Quarterly water bill,
,2026-01-26,Transport > Public Transport,directions_bus,3000,Monthly metro pass,
,2026-01-27,Food > Groceries,local_grocery_store,4120,Weekly groceries,
,2026-01-28,Entertainment > Vacation,flight,35000,Weekend trip flights,
,2026-01-30,Gifts & Charity > Gifts,redeem,2500,Birthday gift for a friend,
,2026-02-01,Housing > Rent/Mortgage,home,75000,February rent,
,2026-02-02,Food > Groceries,local_grocery_store,3950,Weekly groceries,
,2026-02-03,Vehicle > Fuel,local_gas_station,5800,Fuel top-up,
,2026-02-04,Shopping > Subscriptions > AI,smart_toy,2000,ChatGPT Plus,
,2026-02-05,Food > Eating out,restaurant,1350,Lunch with colleague,
,2026-02-06,Housing > Utilities > Phone,phone_android,1999,Phone plan,
,2026-02-07,Health > Supplements,medication,3200,Protein powder,
,2026-02-08,Food > Groceries,local_grocery_store,4450,Weekly groceries,
,2026-02-09,Hobbies > Education,school,5000,Online course,
,2026-02-10,Transport > Public Transport,directions_bus,150,Single metro ticket,
,2026-02-11,Food > Eating out,restaurant,1750,Sushi restaurant,
,2026-02-12,Vehicle > Car Wash,local_car_wash,1500,Car wash,
,2026-02-13,Shopping > Books,menu_book,1890,Programming book,
,2026-02-14,Food > Eating out,restaurant,4500,"Valentine's dinner",
,2026-02-15,Entertainment > Night life,nightlife,3200,Cocktail bar,
,2026-02-16,Food > Groceries,local_grocery_store,5100,Weekly groceries,
,2026-02-17,Housing > Utilities > Heating,whatshot,12500,February heating,
,2026-02-18,Kids > Kaya,child_care,4500,School supplies,
,2026-02-19,Food > Eating out,restaurant,1200,Coffee and pastry,
